id,title,tags
396422,Annabelle: Creation,horror mystery thriller stephanie sigman talitha bateman lulu wilson anthony lapaglia miranda otto david f. sandberg prequel evil doll demon spin off demonic possession ghost aftercreditsstinger duringcreditsstinger  en
456740,Hellboy,fantasy horror action adventure david harbour milla jovovich ian mcshane sasha lane daniel dae kim neil marshall london england secret society based on comic english countryside reboot tijuana mexico nazi occultism father son relationship lucha libre baba yaga ailuranthropy arthurian mythology  en
359724,Ford v Ferrari,drama action history christian bale matt damon jon bernthal caitríona balfe josh lucas james mangold based on novel or book car race car mechanic biography sports based on true story le mans racing racecar driver race car driver 1960s  en
442249,The First Purge,horror action thriller marisa tomei patch darragh kristen solis y'lan noel christian robinson gerard mcmurray new york city new jersey sequel prequel murder purge abuse of power new york  en
55341,Jeepers Creepers 3,horror mystery thriller stan shaw gabrielle haugh jonathan breck brandon smith meg foster victor salva monster truck sequel revenge vision supernatural creature hunt military booby trap prehistoric creature generational farming community deadly creature disembodied hand  en
476968,"Paul, Apostle of Christ",drama history jim caviezel james faulkner olivier martinez joanne whalley john lynch andrew hyatt roman empire bible nero 1st century christian film  en
364689,Ferdinand,animation family adventure comedy john cena kate mckinnon anthony anderson bobby cannavale david tennant carlos saldanha spain madrid spain europe friendship remake anthropomorphism bull based on children's book capture  en
567609,Ready or Not,comedy horror thriller samara weaving adam brody mark o'brien henry czerny andie macdowell matt bettinelli-olpintyler gillett satanism ritual pact with the devil marriage games murder gore wealth escape wedding wedding dress satanic cult  en
406990,What Happened to Monday,sci-fi thriller drama mystery action noomi rapace glenn close willem dafoe marwan kenzari christian rubeck tommy wirkola chase fake identity dystopia overpopulation investigation betrayal conspiracy execution alternate reality population control secrecy septuplets 2070s  en
450465,Glass,thriller drama sci-fi james mcavoy bruce willis samuel l. jackson anya taylor joy m. night shyamalan villain sequel superhero psychiatric hospital comic book shop super power mental illness multiple personality dissociative identity disorder surveillance specialist  en
419430,Get Out,mystery thriller horror daniel kaluuya allison williams catherine keener bradley whitford caleb landry jones jordan peele kidnapping externally controlled action manipulation hypnosis parents in law racist satire revenge dark comedy interracial relationship disappearance racism psychological thriller neurosurgeon missing person stereotype brain surgery race conscious  en
449443,Den of Thieves,action thriller crime gerard butler dawn olivieri o'shea jackson jr. pablo schreiber 50 cent christian gudegast detective police brutality fbi donut strip club heist shootout los angeles california divorce bank robbery death ex marine armored truck donut shop  en
338970,Tomb Raider,action adventure fantasy alicia vikander dominic west walton goggins daniel wu kristin scott thomas roar uthaug island treasure hunt remake female protagonist heiress based on video game bicycle courier missing person reboot peril slave labor father daughter relationship  en
505600,Booksmart,comedy kaitlyn dever beanie feldstein jessica williams jason sudeikis lisa kudrow olivia wilde high school house party coming of age buddy high school student lgbt woman director teenager  en
339964,Valerian and the City of a Thousand Planets,adventure sci-fi action dane dehaan cara delevingne clive owen rihanna ethan hawke luc besson shapeshifting future utopia space travel based on comic alien alien planet energy alien abduction genocide parallel world political intrigue  pacifist space opera military government agent marketplace trapped in space federal government unity cosmopolis  en
348350,Solo: A Star Wars Story,sci-fi adventure action alden ehrenreich joonas suotamo woody harrelson emilia clarke donald glover ron howard spacecraft smuggling (contraband) prequel spin off space opera  en
399402,Hunter Killer,action thriller gerard butler gary oldman toby stephens common linda cardellini donovan marsh submarine washington dc usa sniper pentagon u.s. navy special forces russian army naval base russian president post cold war  en
281338,War for the Planet of the Apes,drama sci-fi war andy serkis woody harrelson steve zahn karin konoval michael adamthwaite matt reeves suicide based on novel or book slavery sequel revenge anthropomorphism ape avalanche virus father son relationship 2040s  en
338967,Zombieland: Double Tap,comedy horror woody harrelson jesse eisenberg emma stone abigail breslin rosario dawson ruben fleischer the white house marriage proposal road trip sequel gore survival spoof zombie recreational vehicle aftercreditsstinger graceland minivan christmas present  en
353486,Jumanji: Welcome to the Jungle,adventure action comedy fantasy dwayne johnson kevin hart jack black karen gillan rhys darby jake kasdan video game fighter sequel avatar detention explorer based on movie gaming quest cartographer action hero zoologist based on young adult novel game characters  en
530385,Midsommar,horror drama mystery florence pugh jack reynor william jackson harper will poulter vilhelm blomgren ari aster sweden paranoia ritual cult magic mushroom anthropology paganism hallucinogenic drug death of family boyfriend girlfriend relationship midsummer cultural conflict bad trip folk horror toxic relationship midnight sun isolated community summer festival traumatized woman  en
406563,Insidious: The Last Key,horror mystery thriller lin shaye angus sampson leigh whannell josh stewart caitlin gerard adam robitel medium key haunted house prequel spirit 1950s  en
523931,Megalodon,action sci-fi horror tv movie michael madsen scott c. roe ego mikitas paulina nguyen dominic pace james thomas submarine monster shark attack creature shark military prehistoric creature  en
490132,Green Book,drama comedy viggo mortensen mahershala ali linda cardellini sebastian maniscalco dimiter d. marinov peter farrelly southern usa friendship road trip racism pianist driver lgbt road movie music tour 1960s roadtrip  en
331482,Little Women,drama romance history saoirse ronan florence pugh emma watson eliza scanlen laura dern greta gerwig new york city sibling relationship based on novel or book massachusetts remake coming of age period drama american civil war christmas 19th century sister sister relationship female writer sisters  en
447404,Pokémon Detective Pikachu,action adventure fantasy justice smith ryan reynolds kathryn newton bill nighy ken watanabe rob letterman detective amnesia car crash pocket monsters whodunit based on video game missing person missing parent buddy comedy neo noir live action and animation pikachu character live action anime  en
429351,12 Strong,war drama action history chris hemsworth michael shannon michael peña navid negahban trevante rhodes nicolai fuglsig cia based on novel or book afghanistan taliban based on true story post 9/11  en
424783,Bumblebee,action adventure sci-fi hailee steinfeld john cena jorge lendeborg jr. john ortiz jason ian drucker travis knight technology based on toy robot spin off 1980s  en
417261,Forever My Girl,romance drama music alex roe jessica rothe john benjamin hickey abby ryder fortson peter cambor bethany ashton wolf second chance hometown father daughter relationship  en
300668,Annihilation,sci-fi horror natalie portman jennifer jason leigh gina rodriguez tessa thompson tuva novotny alex garland coma based on novel or book depression florida dna self destruction expedition professor mutation alligator transformation swamp meteor quarantine physicist hybrid grief cancer psychologist memory loss scientist paramedic missing person beast geologist biologist unusual phenomena compound missing husband fauna mysterious life form flora  en
298250,Jigsaw,horror crime mystery thriller matt passmore tobin bell callum keith rennie hannah anderson clé bennett michael spierigpeter spierig sadism horror sequel flashback gore torture death survival horror death match suicide by hanging mind game abduction  en
428078,Mortal Engines,adventure sci-fi hera hilmar robert sheehan hugo weaving jihae ronan raftery christian rivers based on novel or book post apocalyptic future dystopia revenge steampunk wasteland futuristic vehicle based on young adult novel  en
390043,The Hitman's Bodyguard,action comedy ryan reynolds samuel l. jackson gary oldman salma hayek richard e. grant patrick hughes england assassin hitman bodyguard court travel on the run criminal killer courtroom opposites attract buddy comedy testify  en
454983,The Kissing Booth,romance comedy joey king joel courtney jacob elordi molly ringwald stephen jennings vince marcello based on novel or book crush los angeles california high school student based on young adult novel  en
